RADIOLOGICAL_ACCESSION_NUMBER,NHS_NUMBER,NHS_NUMBER_STATUS,NHS_NUMBER_STATUS_DESCRIPTION,NHS_NUMBER_SUPPLIED,DATE_OF_BIRTH,AGE_BAND_5_YEARS,AGE_BAND_10_YEARS,AGE_BAND_CHILDREN_INC_0_YEARS,AGE_BAND_INC_50_TO_74,AGE_BAND_INC_WORKING_AGE_16_TO_60,AGE_BAND_INC_WORKING_AGE_16_TO_64,ETHNIC_CATEGORY_CODE,ETHNIC_CATEGORY_DESCRIPTION,ETHNIC_CATEGORY_GROUP,GENDER_CODE,GENDER_DESCRIPTION,POSTCODE,LOCATION_LSOA,LOCATION_MSOA,GP_CODE,GP_DESCRIPTION,CCG_CODE,CCG_NAME,PATIENT_SOURCE_SETTING,PATIENT_SOURCE_SETTING_DESCRIPTION,REFERRER_ORGANISATION_CODE,REFERRER_ORGANISATION_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,REFERRER_CODE,DERIVED_REFERRER_TYPE,DIAGNOSTIC_TEST_REQUEST_DATE,DIAGNOSTIC_TEST_REQUEST_RECEIVED_DATE,DIAGNOSTIC_TEST_DATE,YEAR_OF_TEST,MONTH_OF_TEST,SERVICE_REPORT_ISSUE_DATE,TEST_REQUEST_TO_TEST_REQUEST_RECEIVED,TEST_REQUEST_TO_TEST,TEST_REQUEST_TO_SERVICE_REPORT_ISSUED,TEST_REQUEST_RECEIVED_TO_TEST,TEST_REQUEST_RECEIVED_TO_SERVICE_REPORT_ISSUED,TEST_TO_SERVICE_REPORT_ISSUED,IMAGING_CODE_NICIP,IMAGING_CODE_NICIP_DESCRIPTION,IMAGING_CODE_SNOMED_CT,IMAGING_CODE_SNOMED_CT_DESCRIPTION,MORPHOLOGY_ID,MORPHOLOGY,MODALITY_ID,MODALITY,SUB_MODALITY_ID,SUB_MODALITY,REGION_ID,REGION,SUB_REGION_ID,SUB_REGION,SYSTEM_ID,SYSTEM,SUB_SYSTEM_ID,SUB_SYSTEM,SUB_SYSTEM_COMPONENT_ID,SUB_SYSTEM_COMPONENT,FETAL_ID,FETAL,EARLY_CANCER_DIAGNOSIS,SUB_EARLY_CANCER_DIAGNOSIS,PROVIDER_SITE_CODE,PROVIDER_SITE_CODE_DESCRIPTION,COMMISSIONING_ORGANISATION_CODE,COMMISSIONING_ORGANISATION_NAME,SUBMITTER_ORGANISATION,PROVIDER_SHA_CODE,PROVIDER_SHA_NAME,DERIVED_IMAGING_CODE_SNOMED_CT,DERIVED_IMAGING_CODE_SNOMED_CT_DESCRIPTION,DERIVED_REFERRER_CODE,SUBMITTER_ORGANISATION_NAME,MIGRATION_DATE,Person_ID,MPSConfidence,SUBMISSION_DATA_ID,DIDS_UNIQUE_RECORD_ID,TOKEN_PERSON_ID
65401,9018978892,06,Trace in progress,1,1999-04-12 00:00:00,15-19,10-19,16 and over,19-49,16-60,16-64,P,Any other Black background,Black or Black British,2,Female,ML1 4LL,S01011460,S02002153,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,G9999998,GP,2018-07-01 00:00:00,2018-07-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,0,0,1,0,1,1,MHANBC,MRI Hand with contrast Both,,,,,113091000,Magnetic resonance imaging (procedure),,,66019005,Limb structure (body structure),53120007,Upper limb structure (body structure),,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,432000006,Magnetic resonance imaging of hand with contrast (procedure),G9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9018978892,,,,
65402,9018978906,06,Trace in progress,1,1945-06-21,70-74,70-79,16 and over,50-74,61 and over,65 and over,P,Any other Black background,Black or Black British,1,Male,B93 0BN,E01010167,E02002097,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,A9999998,Ministry of Defence Doctor,2018-01-01 00:00:00,2018-01-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,0,181,182,181,182,1,MHANBC,MRI Hand with contrast Both,,,,,113091000,Magnetic resonance imaging (procedure),,,66019005,Limb structure (body structure),53120007,Upper limb structure (body structure),,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,432000006,Magnetic resonance imaging of hand with contrast (procedure),A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9018978906,,,,
65403,9732552476,06,Trace in progress,1,1959-06-22 00:00:00,55-59,50-59,16 and over,50-74,16-60,16-64,P,Any other Black background,Black or Black British,2,Female,,,,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,A9999998,Ministry of Defence Doctor,2018-07-01 00:00:00,2018-07-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,0,0,1,0,1,1,MHANBC,MRI Hand with contrast Both,,,,,113091000,Magnetic resonance imaging (procedure),,,66019005,Limb structure (body structure),53120007,Upper limb structure (body structure),,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,432000006,Magnetic resonance imaging of hand with contrast (procedure),A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9732552476,,,,
65404,9201403968,06,Trace in progress,1,2001-08-02,15-19,10-19,16 and over,0-18,16-60,16-64,P,Any other Black background,Black or Black British,1,Male,NR7 8RJ,E01026561,E02005532,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,A9999998,Ministry of Defence Doctor,2016-01-01 00:00:00,2018-01-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,731,912,913,181,182,1,MHANBC,MRI Hand with contrast Both,,,,,113091000,Magnetic resonance imaging (procedure),,,66019005,Limb structure (body structure),53120007,Upper limb structure (body structure),,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,432000006,Magnetic resonance imaging of hand with contrast (procedure),A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9201403968,,,,
65405,9552062683,06,Trace in progress,1,1999-04-12 00:00:00,15-19,10-19,16 and over,19-49,16-60,16-64,P,Any other Black background,Black or Black British,0,Not Known,ML1 4LL,S01011460,S02002153,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,A9999998,Ministry of Defence Doctor,2018-07-01 00:00:00,2018-07-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,0,0,1,0,1,1,MHANBC,MRI Hand with contrast Both,,,,,113091000,Magnetic resonance imaging (procedure),,,66019005,Limb structure (body structure),53120007,Upper limb structure (body structure),,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,432000006,Magnetic resonance imaging of hand with contrast (procedure),A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9552062683,,,,
IMG_01_VANILLA,9552062683,06,Trace in progress,1,1999-04-12 00:00:00,15-19,10-19,16 and over,19-49,16-60,16-64,P,Any other Black background,Black or Black British,0,Not Known,ML1 4LL,S01011460,S02002153,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,A9999998,Ministry of Defence Doctor,2018-07-01 00:00:00,2018-07-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,0,0,1,0,1,1,XMUBRB,Upright stereo mammogram and core Bx Rt,,,,,168537006,Plain radiography (procedure),,,51185008,Thoracic structure (body structure),76752008,Breast structure (body structure),,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,306641000000107,Upright stereotactic X-ray guided core needle biopsy of breast (procedure),A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9552062683,,,,
IMG_02_PREV_METHOD_RETURNED_NULL,9552062683,06,Trace in progress,1,1999-04-12 00:00:00,15-19,10-19,16 and over,19-49,16-60,16-64,P,Any other Black background,Black or Black British,0,Not Known,ML1 4LL,S01011460,S02002153,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,A9999998,Ministry of Defence Doctor,2018-07-01 00:00:00,2018-07-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,0,0,1,0,1,1,,,418378007,Mammogram and biopsy,,,,,,,,,,,,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,418378007,Mammogram and biopsy,A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9552062683,,,,
IMG_03_PREV_METHOD_RETURNED_NULL,9552062683,06,Trace in progress,1,1999-04-12 00:00:00,15-19,10-19,16 and over,19-49,16-60,16-64,P,Any other Black background,Black or Black British,0,Not Known,ML1 4LL,S01011460,S02002153,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,A9999998,Ministry of Defence Doctor,2018-07-01 00:00:00,2018-07-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,0,0,1,0,1,1,CART,CT Angiogram,77477000,Computerised tomography,,,77477000,Computerized axial tomography (procedure),,,,,,,,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,77477000,Computerised tomography,A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9552062683,,,,
IMG_04_PREV_METHOD_RETURNED_NULL,9552062683,06,Trace in progress,1,1999-04-12 00:00:00,15-19,10-19,16 and over,19-49,16-60,16-64,P,Any other Black background,Black or Black British,0,Not Known,ML1 4LL,S01011460,S02002153,F85678,THE TOWN SURGERY LTD,07X,NHS NORTH CENTRAL LONDON ICB - 93C,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,NEF,KORUS HEALTH,A9999998,Ministry of Defence Doctor,2018-07-01 00:00:00,2018-07-01 00:00:00,2018-07-01 00:00:00,2018,7,2018-07-02 00:00:00,0,0,1,0,1,1,UOBRT,US Obstetric Routine,,,,,,,,,,,,,,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,,,A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9552062683,,,,
IMG_05_PREV_METHOD_RETURNED_NULL_ARB_PIT,9552062683,06,Trace in progress,1,1999-04-12 00:00:00,0-4,0-9,1-4,0-18,0-15,0-15,P,Any other Black background,Black or Black British,0,Not Known,ML1 4LL,,,F85678,THE TOWN SURGERY LTD,,,05,Accident and Emergency Department (this Health Care Provider),8C898,SISTER DORA NH,,,A9999998,Ministry of Defence Doctor,2018-07-01 00:00:00,2018-07-01 00:00:00,2000-07-01 00:00:00,2000,7,2018-07-02 00:00:00,0,-6574,1,-6574,1,6575,CSKWC,CT Head with & without contrast,,,,,,,,,,,,,,,,,,,,,,,NEF10,WHEAL NORTHEY SURGERY,,,RAE,,,,,A9999998,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,9552062683,,,,
